benefit,benefit_id
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương,1
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Khác,2
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Khác,3
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Hoạt động nhóm- Xe đưa đón- Khác,4
Thưởng- Chăm sóc sức khoẻ- Khác,5
Thưởng- Đào tạo- Khác,6
Thưởng- Chăm sóc sức khoẻ- Đào tạo,7
Thưởng- Khác,8
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Giải thưởng- Cơ hội du lịch- Hoạt động nhóm- Khác,9
Thưởng- Chăm sóc sức khoẻ- Giải thưởng- Hoạt động nhóm,10
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Cơ hội du lịch- Khác,11
Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch,12
Thưởng- Chăm sóc sức khoẻ- Hoạt động nhóm- Khác,13
Chăm sóc sức khoẻ- Máy tính xách tay- Khác,14
Chăm sóc sức khoẻ- Xe đưa đón,15
Thưởng- Đào tạo- Giải thưởng,16
Thưởng- Chăm sóc sức khoẻ- Hoạt động nhóm,17
Thưởng- Máy tính xách tay- Xe đưa đón,18
Chăm sóc sức khoẻ- Đào tạo- Cơ hội du lịch- Hoạt động nhóm- Xe đưa đón- Khác,19
Thưởng- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Căn-tin,20
Thưởng,21
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Máy tính xách tay- Khác,22
Thưởng- Cơ hội du lịch- Hoạt động nhóm,23
Thưởng- Chăm sóc sức khoẻ- Giải thưởng,24
Thưởng- Nghỉ phép có lương- Phiếu giảm giá,25
Thưởng- Nghỉ phép có lương- Đào tạo,26
Thưởng- Máy tính xách tay- Cơ hội du lịch,27
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Hoạt động nhóm,28
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Máy tính xách tay- Cơ hội du lịch- Hoạt động nhóm- Căn-tin,29
Thưởng- Chăm sóc sức khoẻ- Đào tạo- Xe đưa đón- Khác,30
Thưởng- Đào tạo- Cơ hội du lịch,31
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo,32
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Đào tạo- Cơ hội du lịch- Hoạt động nhóm- Khác,33
Chăm sóc sức khoẻ- Đào tạo- Khác,34
Thưởng- Chăm sóc sức khoẻ- Nghỉ phép có lương- Cơ hội du lịch- Khác,35
