jobId,benefit_id
1894032,1
1895446,2
1882744,3
1899887,4
1896648,5
1896164,6
1896759,7
1896705,8
1896733,9
1896609,3
1896675,10
1896757,6
1896776,11
1894673,12
1893398,13
1893357,14
1895334,15
1882153,16
1893994,17
1896140,5
1895235,7
1893308,6
1894036,1
1894004,18
1893761,19
1893836,20
1877427,7
1894038,21
1886112,22
1882159,6
1897950,23
1898595,7
1898613,16
1886118,7
1900810,24
1889373,25
1897363,6
1885040,26
1886127,7
1897427,6
1899431,5
1879218,27
1884349,1
1884861,28
1885759,11
1886879,7
1903352,29
1902882,17
1902890,17
1899757,7
1884197,30
1899404,21
1899432,7
1899425,31
1899345,32
1899890,1
1900723,21
1900722,33
1886137,24
1901124,5
1899161,7
1903019,34
1903191,35
1903298,36
1903404,5
1903411,37
1903414,7
1903420,28
1903540,1
1903543,3
1903544,3
1903550,38
1903551,39
1903553,1
1903554,1
1903569,17
1886085,23
1903466,5
1903319,1
1903367,40
1896555,41
1889925,24
1904455,13
1904939,7
1904946,21
1904940,42
1904950,43
1903477,44
1904938,45
1904943,5
1904949,43
1904925,46
1904935,45
1904857,47
1886284,47
1904856,47
1904937,1
1893071,5
1904923,43
1887303,48
1890732,11
1904906,49
1890767,11
1904883,50
1904898,7
1904910,1
1896677,6
1896686,51
1896548,52
1896572,53
1896154,54
1896562,17
1896568,53
1896579,53
1896583,53
1894591,55
1896646,6
1881297,7
1877669,56
1882061,13
1895264,12
1893404,6
1893342,6
1896362,17
1881757,57
1893935,7
1893097,58
1893396,6
1893400,6
1893406,59
1893403,6
1883917,1
1899070,21
1899147,60
1898447,61
1898520,62
1899150,63
1898479,64
1898512,48
1886101,1
1900484,21
1884210,65
1902914,66
1902917,66
1902926,66
1902912,66
1902919,21
1902921,67
1902802,66
1901113,5
1880105,63
1880111,63
1880118,63
1884722,26
1885402,68
1885395,17
1884153,57
1884116,37
1903068,66
1901909,3
1888186,7
1903391,17
1903418,3
1902209,7
1903328,6
1903429,26
1901066,43
1894122,69
1903003,70
1896557,41
1904901,59
1904814,71
1904850,72
1904860,56
1904881,73
1904887,74
1904920,22
1904918,21
1888985,5
1904915,75
1904859,76
1904872,21
1904896,37
1904849,77
1904894,62
1904854,5
1896302,78
1904766,5
1904831,1
1904879,5
1904794,79
1904798,34
1904828,5
1904841,17
1904880,5
1904809,80
1904845,7
1904876,81
1878539,16
1893514,82
1899258,83
1896641,6
1896508,84
1896593,85
1896605,86
1896607,59
1896629,87
1896540,21
1896545,88
1896587,89
1896618,59
1896619,90
1896622,21
1896624,59
1896632,6
1895795,1
1895936,6
1895943,6
1881548,88
1896639,91
1901715,73
1830315,31
1900979,7
1898303,1
1885342,5
1899751,1
1899791,37
1899812,7
1903142,7
1903155,92
1903256,93
1903263,7
1903230,17
1903242,5
1903245,94
1903249,26
1903304,6
1901008,1
1901012,1
1903268,5
1903219,95
1893849,96
1891575,97
1896799,98
1903262,1
1899827,48
1904865,99
1904791,74
1904861,17
1903970,100
1904852,3
1904761,7
1904356,6
1904420,21
602775,56
1904833,17
1904811,5
1904803,101
1890258,56
1896538,102
1896512,53
1896523,37
1896564,103
1896457,104
1896526,37
1876915,105
1896463,104
1896499,64
1878547,47
1893848,21
1897073,6
1897059,6
1897074,6
1897064,6
1897062,6
1885803,43
1897069,6
1899068,1
1899143,5
1898944,84
1899742,5
1902811,56
1902377,87
1902386,3
1898391,106
1898387,106
1882475,107
1898420,86
1898356,84
1885238,63
1899603,5
1903032,62
1903111,108
1903161,47
1903081,7
1903067,7
1903180,7
1903004,5
1903078,7
1903083,7
1903122,1
1903158,56
1904773,21
1904779,57
1904778,109
1889785,44
1904742,37
1888949,44
1904777,110
1904768,5
1904758,59
1904748,111
1904746,111
1904731,112
1904760,64
1904506,107
1904745,5
1904728,43
1898991,17
1903038,31
1899641,113
1899689,1
1881746,7
1900845,6
1900852,21
1900858,6
1900850,21
1902354,17
1902358,17
1902364,17
1884597,56
1901425,84
1885783,18
1881067,64
1889647,17
1889660,17
1899695,1
1884478,1
1898350,16
1899083,114
1899708,7
1899685,87
1899718,5
1884204,3
1899616,47
1902284,35
1903029,56
1903089,5
1903025,37
1903092,5
1903012,1
1903095,5
1903101,5
1877031,47
1893215,7
1896073,37
1893585,1
1896215,115
1881104,39
1876323,116
1897655,31
1897666,31
1897671,31
1897705,43
1896466,34
1896435,115
1896426,117
1896364,56
1896333,118
1896357,33
1896363,56
1896410,1
1896437,17
1896481,119
1896428,7
1882212,43
1882423,78
1896484,33
1904632,24
1904656,120
1889724,26
